16년 7월,평균온도,최대온도,평균습도,요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.03 ,22.8,25.1,86,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.43 ,22.3,25.8,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.42 ,21.9,25.4,74,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.31 ,21.6,24.8,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.51 ,22.4,24.3,89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.18 ,20.8,23.9,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.80 ,22.5,27.1,73,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.87 ,24.5,29.2,70,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.07 ,25.4,29.7,70,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.52 ,24.6,29.1,73,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.73 ,25.2,31.3,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.16 ,24.5,28.5,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.65 ,23.9,26.4,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.50 ,25.5,29.2,69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.47 ,25.6,28.3,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.22 ,21,23.5,88,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.36 ,20.9,22.1,83,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.19 ,22.7,26,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.63 ,25.2,30,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.47 ,27.1,31.8,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.31 ,27.1,31.3,65,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.79 ,27.6,31.7,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.61 ,27,30,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.42 ,26.5,28.6,80,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.86 ,26.3,29,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.37 ,26.4,29.3,78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.16 ,26.4,28.5,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.94 ,25.6,28,78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.34 ,25.2,27.4,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.84 ,26.8,31,77,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.56 ,27.2,30.9,81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년 7월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.18 ,24.1,28.7,78,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.00 ,23.7,25.9,89,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.09 ,24,26.7,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.29 ,25,29.3,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.76 ,25.8,29.8,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.47 ,26.4,31.6,75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.70 ,25.9,28.3,82,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.21 ,25.7,27.8,83,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.70 ,26,29,83,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.21 ,23.7,25.6,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.41 ,25,28.9,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.93 ,25.5,29.7,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.71 ,25.8,30.6,77,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.48 ,27.1,31.4,74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.38 ,24.3,26.4,88,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.27 ,25.5,27.8,84,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.29 ,25.7,27.6,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.54 ,25.7,29.9,82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.33 ,26.5,30.2,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.77 ,27.6,32.2,75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.90 ,28,30.8,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.13 ,27.6,30.4,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.87 ,26.8,29,85,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.99 ,25.6,27.5,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.40 ,27.8,33.1,73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.36 ,27.9,31.6,64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.21 ,26.3,29.1,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.16 ,25.4,27.6,87,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.06 ,27.2,30.8,76,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.99 ,26.8,30.4,73,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.69 ,25.1,26.2,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18년 6월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.43 ,20.9,27.3,53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.44 ,20.4,25.9,49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.44 ,21.5,28.2,48,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.71 ,20,23.8,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.35 ,21.7,27.1,49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.02 ,19.4,23.1,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.95 ,18.8,23.2,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.43 ,19.7,23.5,67,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.10 ,21.3,28.9,68,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.34 ,20.2,23.4,64,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.77 ,18.9,20.8,69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.98 ,19.9,24.2,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
