16년 7월,평균온도,최대온도,평균습도,요일,,,16년 8월,,,,
77.03,22.8,25.1,86,5,,,85.10 ,26,30.1,82,1
69.43,22.3,25.8,81,6,,,87.04 ,26.1,29.7,81,2
67.42,21.9,25.4,74,7,,,86.98 ,27.5,31.8,66,3
74.31,21.6,24.8,83,1,,,91.17 ,27.9,32.1,74,4
77.51,22.4,24.3,89,2,,,90.27 ,28.2,32.8,74,5
73.18,20.8,23.9,80,3,,,85.66 ,28.2,31.8,70,6
74.8,22.5,27.1,73,4,,,78.00 ,27.7,31.6,64,7
79.87,24.5,29.2,70,5,,,89.46 ,28,31.6,71,1
77.07,25.4,29.7,70,6,,,88.95 ,28,32.7,69,2
72.52,24.6,29.1,73,7,,,86.17 ,27.5,31,70,3
81.73,25.2,31.3,67,1,,,90.19 ,28.1,32.2,74,4
81.16,24.5,28.5,70,2,,,89.95 ,28,31.4,78,5
80.65,23.9,26.4,80,3,,,84.80 ,28.3,31.6,76,6
80.5,25.5,29.2,69,4,,,80.25 ,28.1,30.8,79,7
79.47,25.6,28.3,60,5,,,81.29 ,28.1,31.7,70,1
72.22,21,23.5,88,6,,,88.66 ,28.2,31.8,69,2
67.36,20.9,22.1,83,7,,,87.96 ,28.5,32.6,68,3
77.19,22.7,26,78,1,,,86.44 ,28.6,32.8,64,4
79.63,25.2,30,71,2,,,85.99 ,28.9,31.8,65,5
83.47,27.1,31.8,68,3,,,81.91 ,29.3,33.4,65,6
83.31,27.1,31.3,65,4,,,78.22 ,29.8,34.6,53,7
84.79,27.6,31.7,66,5,,,88.89 ,28.6,32.7,65,1
81.61,27,30,72,6,,,87.88 ,28.5,32.4,64,2
76.42,26.5,28.6,80,7,,,84.78 ,28.1,33.3,64,3
86.86,26.3,29,83,1,,,86.39 ,27.1,31.2,69,4
86.37,26.4,29.3,78,2,,,77.55 ,23.7,28.6,56,5
85.16,26.4,28.5,79,3,,,72.53 ,23,27.9,44,6
83.94,25.6,28,78,4,,,69.49 ,22.5,27,52,7
82.34,25.2,27.4,84,5,,,75.55 ,23.8,27.6,42,1
78.84,26.8,31,77,6,,,71.91 ,22.4,26,50,2
79.56,27.2,30.9,81,7,,,68.08,19.5,21.4,73,3
,,,,,,,,,,,
17년 7월,,,,,,,17년 8월,,,,
87.18,24.1,28.7,78,6,,,106.18 ,27.2,32,74,2
87,23.7,25.9,89,7,,,112.08 ,29.3,32.9,70,3
94.09,24,26.7,86,1,,,109.30 ,29.1,32.5,65,4
95.29,25,29.3,81,2,,,108.74 ,29,33.4,64,5
95.76,25.8,29.8,74,3,,,106.83 ,30.4,33.9,69,6
98.47,26.4,31.6,75,4,,,103.53 ,28.9,31.4,72,7
104.7,25.9,28.3,82,5,,,108.07 ,27.9,31.2,73,1
93.21,25.7,27.8,83,6,,,108.61 ,27,29.7,74,2
92.7,26,29,83,7,,,104.08 ,27.4,30.9,71,3
99.21,23.7,25.6,90,1,,,109.15 ,26.3,28.6,78,4
103.41,25,28.9,84,2,,,106.56 ,26.8,30.5,74,5
98.93,25.5,29.7,82,3,,,100.56 ,27.3,31,65,6
104.71,25.8,30.6,77,4,,,93.97 ,26.7,28.6,63,7
104.48,27.1,31.4,74,5,,,101.84 ,24.6,27.3,71,1
90.38,24.3,26.4,88,6,,,91.23 ,22.5,23.9,87,2
90.27,25.5,27.8,84,7,,,98.86 ,23.8,26.1,82,3
105.29,25.7,27.6,81,1,,,100.37 ,24.6,28.8,80,4
102.54,25.7,29.9,82,2,,,98.84 ,25.5,29.1,76,5
102.33,26.5,30.2,76,3,,,95.67 ,26.2,28.8,75,6
109.77,27.6,32.2,75,4,,,89.32 ,24.1,25.7,86,7
110.9,28,30.8,79,5,,,101.85 ,25.6,27.9,81,1
104.13,27.6,30.4,81,6,,,101.32 ,26.4,29.9,72,2
103.87,26.8,29,85,7,,,108.55 ,27.1,30.3,83,3
104.99,25.6,27.5,85,1,,,113.63 ,26.5,28.9,82,4
110.4,27.8,33.1,73,2,,,98.59 ,25.3,29.5,68,5
105.36,27.9,31.6,64,3,,,88.00 ,24.6,28.1,49,6
104.21,26.3,29.1,72,4,,,84.31 ,22.8,26.4,59,7
107.16,25.4,27.6,87,5,,,94.94 ,21.3,26.7,74,1
98.06,27.2,30.8,76,6,,,82.39 ,19.7,22.5,44,2
94.99,26.8,30.4,73,7,,,86.67 ,20.7,24.4,55,3
103.69,25.1,26.2,85,1,,,92.09 ,21.9,26.2,67,4
,,,,,,,,,,,
,,,,,,,,,,,
18년 5월,,,,,,,18년 6월,,,,
81.11,17.9,21,80,2,,,87.43,20.9,27.3,53,5
81.1,14.3,17.7,81,3,,,86.44,20.4,25.9,49,6
77.28,12.5,16.4,56,4,,,85.44,21.5,28.2,48,7
77.68,13.4,17.2,51,5,,,90.71,20,23.8,61,1
79.04,16.7,22.4,55,6,,,91.35,21.7,27.1,49,2
79.04,16.3,20.6,79,7,,,88.02,19.4,23.1,68,3
78.53,17.2,23.4,62,1,,,87.95,18.8,23.2,72,4
81.41,17.5,23.1,53,2,,,88.43,19.7,23.5,67,5
78.37,14,18.4,55,3,,,90.1,21.3,28.9,68,6
78.37,12.7,16.1,77,4,,,86.34,20.2,23.4,64,7
79.45,12.6,16.4,78,5,,,86.77,18.9,20.8,69,1
76.95,13.5,15.5,84,6,,,88.98,19.9,24.2,64,2
76.6,13.5,17.7,80,7,,,87.73,20.4,24,64,3
80.59,15.6,22.7,76,1,,,92.2,20.7,23.9,71,4
87.38,21.9,27.4,57,2,,,91.02,21.4,25.7,59,5
88.85,20.3,23.4,86,3,,,89.26,20.5,25.4,56,6
89.13,18.9,22.4,89,4,,,86.83,20,23.9,67,7
83.12,15.9,19.7,78,5,,,92.99,21.5,26.6,64,1
84.81,17.6,24.8,50,6,,,90.03,20.2,24.8,68,2
81.11,18.4,23.6,33,7,,,91.07,20.4,25.1,69,3
81.04,16.5,21.4,46,1,,,91.31,20.6,24.1,62,4
79.44,16.9,21.5,74,2,,,93.04,22.2,28.6,55,5
80.47,15.8,19.9,65,3,,,92.04,22,26.1,55,6
83.72,16.5,21.6,57,4,,,91.98,21.8,26.7,62,7
83.69,17.7,23,49,5,,,100.57,24.1,29.6,57,1
84.27,19,25.5,58,6,,,100.48,21.3,24.9,77,2
81.26,17.8,22.2,50,7,,,95.21,20.7,23.4,81,3
85.72,19.7,25,56,1,,,101.02,22.1,25.5,84,4
87.6,18.6,23.1,77,2,,,98.51,21.8,26.8,82,5
86.99,17.8,20.6,78,3,,,99.23,24,30.1,75,6
87.04,19,24.4,63,4,,,,,,,
